APOGEE_ID RA DEC VHELIO_AVG FE_H z_height rgc C_FE N_FE O_FE MG_FE SI_FE S_FE CA_FE TI_FE NA_FE AL_FE K_FE V_FE MN_FE NI_FE
2M10390728-1036514 159.780352 -10.614284 163.73500061035156 -1.622274019877388 7.28785391625335 14.975210911285837 -0.4018102933185854 0.34458250398404155 0.32603964156816967 0.06428632957235236 0.3931027225113459 0.3931300702355498 0.19541956628627455 -0.04691704808435415 -0.4224692671249517 -0.22140211431185652 -0.1160278003965367 -0.32390683083477967 -0.24636371671728008 -0.12155722328371033
2M10394895+3459288 159.95397 34.991344 57.96039962768555 -1.841745011009118 4.459555638325846 11.64747661591774 -0.17775173885562623 0.4019216261498417 0.35515321605226213 0.17817498203406612 0.3254183408620275 0.4915222501467129 0.1370705727714947 0.07140165995872017 0.4964664861623447 -0.2207326001897103 -0.03328873320229797 -0.4660272106997083 -0.10238430183909042 -0.09135759346254502
2M10403707+2040190 160.154464 20.671963 -0.4454750120639801 -1.554397681859016 6.63584098369669 13.391411771306352 -0.15977112482840838 0.34322019006605253 0.36393886469440817 0.17493248693907737 0.36584134763476395 0.5042406307341087 0.16420748268441776 0.12939627351029603 0.23169441918862632 -0.12809513208154266 -0.057015853939029526 -0.38198366407668516 -0.1091176472265154 -0.10528631351275597
2M10411615+1948539 160.317292 19.814987 92.30979919433594 -1.5439473877721743 3.691524944540451 10.734465084288862 -0.04764434127410677 0.32755849136479775 0.4025278214803558 0.2451323315560232 0.38416094655864397 0.5256095568081465 0.09794668156463349 0.11937024667433005 0.2764822051521678 -0.09239122157207214 -0.14486465092023093 -0.376631832885999 -0.08524063216863409 -0.06734107135315215
2M10435002-1126292 160.958439 -11.441457 115.0770034790039 -1.6340201125786367 10.299932951347275 18.834919467568323 -0.11259449025837243 0.41339335605435035 0.380040830064478 0.21702794634738742 0.3668386784911084 0.5177547419838138 0.1586792956052081 0.10792979501312194 0.15436963345940424 -0.12602310980268694 -0.029375487687483215 -0.38775864041265073 -0.174054161754571 -0.06966485354466445
2M10461914+2019164 161.579753 20.32123 181.78399658203125 -1.703653373929192 4.661618033329179 11.447822341211332 -0.2146995400780045 0.23379325081569236 0.29043127690895476 0.17894552324586077 0.33176892107995437 0.5147127748713556 0.1907695594591554 0.05612820933148854 0.2208138936308044 -0.23669583927108118 0.08184112929901288 -0.3836542081640364 -0.09766445586620787 -0.09974439812893876
2M10464771+1647055 161.698803 16.784878 194.1649932861328 -1.588039734964964 12.207734415592371 18.78765623580421 -0.30387411859169 0.28242680506897266 0.31828929809553186 0.12220064017216048 0.3845980599839196 0.43003278996961924 0.20109570245104225 0.016051097246522206 -0.23202284905586956 -0.17796956410020126 -0.04683862018678897 -0.36823841214201725 -0.15272405372789333 -0.08278741545354262
2M10510440+1644321 162.768354 16.742271 119.697998046875 -1.6578049939242507 6.692304889167377 13.088942375276698 -0.24384500131221354 0.35175036804809334 0.3306254449951005 0.16829863637451337 0.3666614931331369 0.48820517357929627 0.15003453248595577 0.010520827557147783 0.12778011776333642 -0.15238897740505375 -0.10406682491796859 -0.5600196946167906 -0.12945528725328082 -0.0996509505795502
2M10510440+1644321 162.768354 16.742271 119.697998046875 -1.6502253325033547 6.692304889167377 13.088942375276698 -0.2844700205097146 0.27022345709911866 0.3143954558659694 0.10444303367033458 0.3538746173846927 0.45353014387560275 0.17805185510960908 0.02088621999639062 0.006887144897987696 -0.21790248931874978 0.07212178690451054 -0.2514300967575185 -0.11660116441408208 -0.10355257506379667
2M10522368+1651020 163.098694 16.85058 197.13699340820312 -1.6992611166178861 14.70029994200261 21.132436143698804 0.27391430313089815 0.5194828637693776 0.3916067306167583 0.08248576326454482 0.363143062197687 0.47182314028080574 0.22929781499289992 0.006853468894253423 -0.2330289509863579 -0.1703067123540194 -0.03652331724272462 -0.15236267074856125 -0.21491489470842828 -0.0019908382834039617
